시간대,요일,발생건수,사망자수,부상자수,중상,경상,부상신고,,,,,,
00시-02시,일,1839,47,3007,730,2073,204,,일,25379,,00시-02시,10905
00시-02시,월,1044,32,1596,375,1087,134,,월,30947,,02시-04시,6262
00시-02시,화,1307,37,1995,461,1420,114,,화,30531,,04시-06시,6651
00시-02시,수,1455,50,2247,585,1522,140,,수,31698,,06시-08시,12871
00시-02시,목,1503,49,2361,598,1617,146,,목,31457,,08시-10시,21901
00시-02시,금,1649,41,2587,610,1795,182,,금,34312,,10시-12시,19968
00시-02시,토,2108,47,3422,787,2402,233,,토,32011,,12시-14시,20911
02시-04시,일,1288,45,2129,523,1461,145,,,,,14시-16시,23547
02시-04시,월,563,21,848,209,565,74,,,,,16시-18시,26371
02시-04시,화,676,27,988,292,630,66,,,,,18시-20시,28585
02시-04시,수,760,29,1180,318,782,80,,,,,20시-22시,21292
02시-04시,목,754,40,1170,300,790,80,,,,,22시-24시,17071
02시-04시,금,880,34,1342,337,901,104,,,,,,
02시-04시,토,1341,47,2138,511,1480,147,,,,,,
04시-06시,일,1091,44,1723,454,1155,114,,,,,,
04시-06시,월,796,47,1144,355,712,77,,,,,,
04시-06시,화,842,56,1188,362,753,73,,,,,,
04시-06시,수,872,52,1226,390,754,82,,,,,,
04시-06시,목,830,49,1164,369,711,84,,,,,,
04시-06시,금,944,49,1402,384,915,103,,,,,,
04시-06시,토,1276,53,1879,493,1253,133,,,,,,
06시-08시,일,1061,32,1631,439,1090,102,,,,,,
06시-08시,월,2124,49,3113,870,2045,198,,,,,,
06시-08시,화,1983,54,2836,778,1868,190,,,,,,
06시-08시,수,1924,33,2790,751,1863,176,,,,,,
06시-08시,목,2018,56,2819,825,1818,176,,,,,,
06시-08시,금,2145,56,2992,830,1948,214,,,,,,
06시-08시,토,1616,53,2344,678,1525,141,,,,,,
08시-10시,일,1549,34,2488,674,1679,135,,,,,,
08시-10시,월,3636,63,5242,1289,3591,362,,,,,,
08시-10시,화,3512,59,4968,1223,3430,315,,,,,,
08시-10시,수,3579,38,5098,1214,3560,324,,,,,,
08시-10시,목,3518,41,5067,1207,3540,320,,,,,,
08시-10시,금,3691,45,5291,1283,3641,367,,,,,,
08시-10시,토,2416,38,3824,964,2613,247,,,,,,
10시-12시,일,2157,33,3664,823,2578,263,,,,,,
10시-12시,월,3012,64,4326,1117,2934,275,,,,,,
10시-12시,화,2801,62,3943,1040,2678,225,,,,,,
10시-12시,수,2897,53,4150,1065,2868,217,,,,,,
10시-12시,목,2842,33,4104,1068,2778,258,,,,,,
10시-12시,금,3035,64,4333,1125,2965,243,,,,,,
10시-12시,토,3224,54,5154,1211,3571,372,,,,,,
12시-14시,일,2571,44,4524,893,3308,323,,,,,,
12시-14시,월,3003,42,4414,1115,3037,262,,,,,,
12시-14시,화,2952,49,4369,1116,2991,262,,,,,,
12시-14시,수,2961,46,4330,1119,2918,293,,,,,,
12시-14시,목,2902,56,4183,1060,2866,257,,,,,,
12시-14시,금,3016,39,4423,1136,2996,291,,,,,,
12시-14시,토,3506,38,5789,1244,4123,422,,,,,,
14시-16시,일,2937,51,5055,1064,3622,369,,,,,,
14시-16시,월,3630,62,5152,1305,3541,306,,,,,,
14시-16시,화,3315,52,4771,1175,3283,313,,,,,,
14시-16시,수,3298,57,4739,1184,3233,322,,,,,,
14시-16시,목,3254,52,4567,1123,3166,278,,,,,,
14시-16시,금,3556,47,5118,1278,3470,370,,,,,,
14시-16시,토,3557,50,5916,1232,4244,440,,,,,,
16시-18시,일,3041,39,5106,1078,3693,335,,,,,,
16시-18시,월,3940,62,5651,1420,3833,398,,,,,,
16시-18시,화,3691,57,5432,1242,3833,357,,,,,,
16시-18시,수,3884,58,5552,1314,3884,354,,,,,,
16시-18시,목,3896,50,5535,1477,3672,386,,,,,,
16시-18시,금,4161,55,5962,1472,4087,403,,,,,,
16시-18시,토,3758,56,6181,1393,4395,393,,,,,,
18시-20시,일,3269,65,5176,1167,3643,366,,,,,,
18시-20시,월,4034,71,5810,1307,4127,376,,,,,,
18시-20시,화,4048,76,5750,1407,3986,357,,,,,,
18시-20시,수,4443,72,6387,1548,4424,415,,,,,,
18시-20시,목,4193,66,5831,1349,4101,381,,,,,,
18시-20시,금,4791,79,6877,1599,4827,451,,,,,,
18시-20시,토,3807,83,5903,1323,4155,425,,,,,,
20시-22시,일,2715,53,4329,972,3046,311,,,,,,
20시-22시,월,2864,64,4068,933,2857,278,,,,,,
20시-22시,화,3050,44,4473,1058,3055,360,,,,,,
20시-22시,수,3096,43,4511,1042,3195,274,,,,,,
20시-22시,목,3128,57,4473,1094,3075,304,,,,,,
20시-22시,금,3514,58,5064,1172,3551,341,,,,,,
20시-22시,토,2925,50,4600,1055,3226,319,,,,,,
22시-24시,일,1861,36,2890,677,2041,172,,,,,,
22시-24시,월,2301,42,3543,807,2494,242,,,,,,
22시-24시,화,2354,53,3470,792,2424,254,,,,,,
22시-24시,수,2529,50,3743,849,2685,209,,,,,,
22시-24시,목,2619,52,3877,883,2740,254,,,,,,
22시-24시,금,2930,51,4460,970,3197,293,,,,,,
22시-24시,토,2477,48,3912,851,2795,266,,,,,,
